Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,STRAIN,Tissue,chip_antibody_vendor
SRR1653796,ChIP-Seq,60,587449440,PRJNA267541,SAMN03196809,268017841,Kupffer cells,GEO,anti-H3K4me1,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX760550,GSM1545965,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545965,Kupffer cells,SRP049941,C57BL/6,Liver,
SRR1653820,ChIP-Seq,60,650128320,PRJNA267541,SAMN03196750,296943377,Small intestine macrophages,GEO,anti-H3K4me1,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX760559,GSM1545974,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545974,Small intestine macrophages,SRP049941,C57BL/6,Small intestine,
SRR1653822,ChIP-Seq,50,275557900,PRJNA267541,SAMN03196843,288560614,Small intestine macrophages,GEO,anti-H3K27ac,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760560,GSM1545975,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545975,Small intestine macrophages,SRP049941,C57BL/6,Small intestine,Abcam
SRR1653824,ChIP-Seq,60,357369300,PRJNA267541,SAMN03196774,160874944,Small intestine macrophages,GEO,anti-H3K4me1,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX760561,GSM1545976,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545976,Small intestine macrophages,SRP049941,C57BL/6,Small intestine,
SRR1653826,ChIP-Seq,50,45851150,PRJNA267541,SAMN03196761,49583879,Small intestine macrophages,GEO,anti-H3K27ac,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760562,GSM1545977,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545977,Small intestine macrophages,SRP049941,C57BL/6,Small intestine,Abcam
SRR1653828,ChIP-Seq,60,198859080,PRJNA267541,SAMN03196761,90495501,Small intestine macrophages,GEO,anti-H3K27ac,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX760562,GSM1545977,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545977,Small intestine macrophages,SRP049941,C57BL/6,Small intestine,Abcam
SRR1653830,ChIP-Seq,50,519616950,PRJNA267541,SAMN03196752,535860596,Small intestine macrophages,GEO,anti-H3K4me2,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760563,GSM1545978,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545978,Small intestine macrophages,SRP049941,C57BL/6,Small intestine,Abcam
SRR1653832,ChIP-Seq,51,359974116,PRJNA267541,SAMN03196829,238191487,Lung macrophages,GEO,anti-H3K27ac,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX760565,GSM1545980,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545980,Lung macrophages,SRP049941,C57BL/6,Lung,Abcam
SRR1653834,ChIP-Seq,50,157604950,PRJNA267541,SAMN03196844,169395046,Lung macrophages,GEO,anti-H3K4me1,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760566,GSM1545981,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545981,Lung macrophages,SRP049941,C57BL/6,Lung,
SRR1653835,ChIP-Seq,60,527259240,PRJNA267541,SAMN03196844,238204673,Lung macrophages,GEO,anti-H3K4me1,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760566,GSM1545981,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545981,Lung macrophages,SRP049941,C57BL/6,Lung,
SRR1653838,ChIP-Seq,60,367491120,PRJNA267541,SAMN03196782,167841863,Lung macrophages,GEO,anti-H3K27ac,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX760567,GSM1545982,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545982,Lung macrophages,SRP049941,C57BL/6,Lung,Abcam
SRR1653839,ChIP-Seq,50,163612350,PRJNA267541,SAMN03196816,176633036,Lung macrophages,GEO,anti-H3K4me2,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760568,GSM1545983,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545983,Lung macrophages,SRP049941,C57BL/6,Lung,Abcam
SRR1653840,ChIP-Seq,50,576082500,PRJNA267541,SAMN03196816,595747563,Lung macrophages,GEO,anti-H3K4me2,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX760568,GSM1545983,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545983,Lung macrophages,SRP049941,C57BL/6,Lung,Abcam
SRR1653843,ChIP-Seq,50,102031850,PRJNA267541,SAMN03196768,109674136,Peritoneal cavity macrophages,GEO,anti-H3K27ac,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760570,GSM1545985,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545985,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653844,ChIP-Seq,60,340254240,PRJNA267541,SAMN03196768,154614317,Peritoneal cavity macrophages,GEO,anti-H3K27ac,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760570,GSM1545985,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545985,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653845,ChIP-Seq,60,312778500,PRJNA267541,SAMN03196768,141661098,Peritoneal cavity macrophages,GEO,anti-H3K27ac,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX760570,GSM1545985,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545985,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653846,ChIP-Seq,50,141078900,PRJNA267541,SAMN03196773,151223648,Peritoneal cavity macrophages,GEO,anti-H3K4me2,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760571,GSM1545986,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545986,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653848,ChIP-Seq,50,149866850,PRJNA267541,SAMN03196842,161168224,Peritoneal cavity macrophages,GEO,anti-H3K4me1,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX760572,GSM1545987,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545987,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,
SRR1653850,ChIP-Seq,50,200269150,PRJNA267541,SAMN03196804,215842291,Peritoneal cavity macrophages,GEO,anti-H3K27ac,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX760573,GSM1545988,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545988,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653852,ChIP-Seq,50,168116700,PRJNA267541,SAMN03196833,181064859,Peritoneal cavity macrophages,GEO,anti-H3K4me2,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760574,GSM1545989,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545989,Peritoneal cavity macrophages,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653855,ChIP-Seq,60,531588000,PRJNA267541,SAMN03196838,243589880,Monocytes,GEO,anti-H3K4me1,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX760575,GSM1545990,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545990,Monocytes,SRP049941,C57BL/6,Bone marrow,
SRR1653857,ChIP-Seq,50,389539500,PRJNA267541,SAMN03196793,407344918,Monocytes,GEO,anti-H3K27ac,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX760576,GSM1545991,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545991,Monocytes,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653859,ChIP-Seq,60,373591260,PRJNA267541,SAMN03196753,168324372,Monocytes,GEO,anti-H3K4me1,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760577,GSM1545992,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545992,Monocytes,SRP049941,C57BL/6,Bone marrow,
SRR1653860,ChIP-Seq,60,246404340,PRJNA267541,SAMN03196753,109822432,Monocytes,GEO,anti-H3K4me1,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX760577,GSM1545992,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545992,Monocytes,SRP049941,C57BL/6,Bone marrow,
SRR1653861,ChIP-Seq,50,77069600,PRJNA267541,SAMN03196796,82745898,Monocytes,GEO,anti-H3K27ac,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX760578,GSM1545993,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545993,Monocytes,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653863,ChIP-Seq,60,316422840,PRJNA267541,SAMN03196796,142108328,Monocytes,GEO,anti-H3K27ac,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760578,GSM1545993,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545993,Monocytes,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653864,ChIP-Seq,50,170431200,PRJNA267541,SAMN03196820,183811661,Monocytes,GEO,anti-H3K4me2,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX760579,GSM1545994,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545994,Monocytes,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653865,ChIP-Seq,50,288963550,PRJNA267541,SAMN03196820,298741715,Monocytes,GEO,anti-H3K4me2,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760579,GSM1545994,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545994,Monocytes,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653866,ChIP-Seq,60,124677540,PRJNA267541,SAMN03196820,57225112,Monocytes,GEO,anti-H3K4me2,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760579,GSM1545994,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545994,Monocytes,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653867,ChIP-Seq,50,524545500,PRJNA267541,SAMN03196805,227836538,Neutrophils,GEO,anti-H3K4me1,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX760580,GSM1545995,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545995,Neutrophils,SRP049941,C57BL/6,Bone marrow,
SRR1653868,ChIP-Seq,60,753383460,PRJNA267541,SAMN03196805,344748832,Neutrophils,GEO,anti-H3K4me1,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX760580,GSM1545995,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545995,Neutrophils,SRP049941,C57BL/6,Bone marrow,
SRR1653869,ChIP-Seq,50,268940050,PRJNA267541,SAMN03196780,117356220,Neutrophils,GEO,anti-H3K27ac,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX760581,GSM1545996,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545996,Neutrophils,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653870,ChIP-Seq,50,206454250,PRJNA267541,SAMN03196780,215554359,Neutrophils,GEO,anti-H3K27ac,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760581,GSM1545996,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545996,Neutrophils,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653872,ChIP-Seq,50,219160550,PRJNA267541,SAMN03196813,235369007,Neutrophils,GEO,anti-H3K4me1,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX760582,GSM1545997,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545997,Neutrophils,SRP049941,C57BL/6,Bone marrow,
SRR1653874,ChIP-Seq,50,275298950,PRJNA267541,SAMN03196832,295839851,Neutrophils,GEO,anti-H3K27ac,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760583,GSM1545998,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545998,Neutrophils,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653876,ChIP-Seq,50,275906150,PRJNA267541,SAMN03196760,298317139,Neutrophils,GEO,anti-H3K4me2,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760584,GSM1545999,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1545999,Neutrophils,SRP049941,C57BL/6,Bone marrow,Abcam
SRR1653878,ChIP-Seq,50,724069400,PRJNA267541,SAMN03196811,313198139,Spleen red pulp macrophages,GEO,anti-H3K4me1,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760585,GSM1546000,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546000,Spleen red pulp macrophages,SRP049941,C57BL/6,Spleen,
SRR1653880,ChIP-Seq,50,227921800,PRJNA267541,SAMN03196767,238596070,Spleen red pulp macrophages,GEO,anti-H3K27ac,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760586,GSM1546001,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546001,Spleen red pulp macrophages,SRP049941,C57BL/6,Spleen,Abcam
SRR1653882,ChIP-Seq,50,164682500,PRJNA267541,SAMN03196791,176458637,Spleen red pulp macrophages,GEO,anti-H3K4me1,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760587,GSM1546002,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546002,Spleen red pulp macrophages,SRP049941,C57BL/6,Spleen,
SRR1653883,ChIP-Seq,60,583299900,PRJNA267541,SAMN03196791,262520703,Spleen red pulp macrophages,GEO,anti-H3K4me1,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760587,GSM1546002,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546002,Spleen red pulp macrophages,SRP049941,C57BL/6,Spleen,
SRR1653885,ChIP-Seq,65,778271195,PRJNA267541,SAMN03196830,655919722,Spleen red pulp macrophages with CD45.1 mark,GEO,none (whole cell extract),public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX760589,GSM1546004,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546004,Spleen red pulp macrophages with CD45.1 mark,SRP049941,C57BL/6,Spleen,
SRR1653887,ChIP-Seq,65,952363815,PRJNA267541,SAMN03196769,802073173,Lung macrophages with CD45.1 mark,GEO,none (whole cell extract),public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760591,GSM1546006,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546006,Lung macrophages with CD45.1 mark,SRP049941,C57BL/6,Lung,
SRR1653889,ChIP-Seq,65,267521605,PRJNA267541,SAMN03196742,225522739,Peritoneal cavity macrophages with CD45.1 mark,GEO,anti-H3K4me1,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX760592,GSM1546007,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546007,Peritoneal cavity macrophages with CD45.1 mark,SRP049941,C57BL/6,Peritoneal cavity,
SRR1653891,ChIP-Seq,65,328429660,PRJNA267541,SAMN03196797,278592120,Peritoneal cavity macrophages with CD45.1 mark,GEO,anti-H3K4me2,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX760593,GSM1546008,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546008,Peritoneal cavity macrophages with CD45.1 mark,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653893,ChIP-Seq,65,346009105,PRJNA267541,SAMN03196751,292741573,Peritoneal cavity macrophages with CD45.1 mark,GEO,anti-H3K27ac,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX760594,GSM1546009,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546009,Peritoneal cavity macrophages with CD45.1 mark,SRP049941,C57BL/6,Peritoneal cavity,Abcam
SRR1653894,ChIP-Seq,65,331103175,PRJNA267541,SAMN03196762,280521582,Spleen red pulp macrophages with CD45.1 mark,GEO,anti-H3K4me1,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX760595,GSM1546010,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2014-12-05T00:00:00Z,GSM1546010,Spleen red pulp macrophages with CD45.1 mark,SRP049941,C57BL/6,Spleen,
