Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain_background,Age,genotype/variation,Tissue,chip_antibody,Antibody
SRR7263605,RNA-Seq,101,7879659935,PRJNA423257,SAMN09363411,4870073249,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167741,GSM3175847,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175847,cbMg TRAP 3mo control,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellar microglia,,
SRR7263606,RNA-Seq,101,6031564561,PRJNA423257,SAMN09363409,3384050414,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167742,GSM3175848,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175848,cbMg TRAP 3mo control,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellar microglia,,
SRR7263607,RNA-Seq,101,6174681157,PRJNA423257,SAMN09363407,3484569647,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167743,GSM3175849,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175849,cbMg TRAP 3mo Eed-ko,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Cerebellar microglia,,
SRR7263608,RNA-Seq,101,7904873676,PRJNA423257,SAMN09363405,4815045842,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4167744,GSM3175850,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175850,cbMg TRAP 3mo Eed-ko,SRP127259,C57BL/6,3-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Cerebellar microglia,,
SRR7263609,RNA-Seq,76,4434199936,PRJNA423257,SAMN09363404,1683960389,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167745,GSM3175851,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175851,stMg TRAP 9mo Eed-ko,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Striatal microglia,,
SRR7263610,RNA-Seq,76,13239240432,PRJNA423257,SAMN09363402,5036497085,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167746,GSM3175852,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175852,stMg TRAP 9mo Eed-ko,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Striatal microglia,,
SRR7263611,RNA-Seq,76,12599305992,PRJNA423257,SAMN09363400,4771587264,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167747,GSM3175853,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175853,stMg TRAP 6mo Eed-ko,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Striatal microglia,,
SRR7263612,RNA-Seq,76,9275652864,PRJNA423257,SAMN09363398,3530095474,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167748,GSM3175854,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175854,stMg TRAP 6mo Eed-ko,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Striatal microglia,,
SRR7263613,RNA-Seq,76,11562787288,PRJNA423257,SAMN09363397,4065245495,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167749,GSM3175855,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175855,stMg TRAP 6mo control,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatal microglia,,
SRR7263614,RNA-Seq,76,7163275956,PRJNA423257,SAMN09363394,2536496331,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167750,GSM3175856,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175856,stMg TRAP 6mo control,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatal microglia,,
SRR7263615,RNA-Seq,76,3637946264,PRJNA423257,SAMN09363393,1290516321,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167751,GSM3175857,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175857,stMg TRAP 9mo control,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatal microglia,,
SRR7263616,RNA-Seq,76,10790974304,PRJNA423257,SAMN09363391,3832099716,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167752,GSM3175858,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175858,stMg TRAP 9mo control,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatal microglia,,
SRR7263617,RNA-Seq,76,2939450252,PRJNA423257,SAMN09363389,1141306022,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167753,GSM3175859,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175859,cbMg TRAP 9mo Eed-ko,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Cerebellar microglia,,
SRR7263618,RNA-Seq,76,22422657036,PRJNA423257,SAMN09363388,8711570581,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4167754,GSM3175860,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175860,cbMg TRAP 9mo Eed-ko,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Cerebellar microglia,,
SRR7263619,RNA-Seq,76,9041894268,PRJNA423257,SAMN09363386,3497915703,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4167755,GSM3175861,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175861,cbMg TRAP 6mo Eed-ko,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Cerebellar microglia,,
SRR7263620,RNA-Seq,76,6415699068,PRJNA423257,SAMN09363384,2496082802,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167756,GSM3175862,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175862,cbMg TRAP 6mo Eed-ko,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/fl,Cerebellar microglia,,
SRR7263621,RNA-Seq,76,10961514276,PRJNA423257,SAMN09363383,3888115640,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167757,GSM3175863,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175863,cbMg TRAP 6mo control,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellar microglia,,
SRR7263622,RNA-Seq,76,7847732564,PRJNA423257,SAMN09363381,2798391868,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167758,GSM3175864,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175864,cbMg TRAP 6mo control,SRP127259,C57BL/6,6-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellar microglia,,
SRR7263623,RNA-Seq,76,2513162452,PRJNA423257,SAMN09363378,900921263,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167759,GSM3175865,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175865,cbMg TRAP 9mo control,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellar microglia,,
SRR7263624,RNA-Seq,76,11603495396,PRJNA423257,SAMN09363377,4144230784,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4167760,GSM3175866,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175866,cbMg TRAP 9mo control,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellar microglia,,
SRR7263625,RNA-Seq,101,7692526832,PRJNA423257,SAMN09363375,5032843739,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4167761,GSM3175867,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175867,striatum tissue RNA,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatum tissue,,
SRR7263626,RNA-Seq,101,4373474124,PRJNA423257,SAMN09363374,2885190705,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167762,GSM3175868,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175868,striatum tissue RNA,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Striatum tissue,,
SRR7263627,RNA-Seq,101,10007416027,PRJNA423257,SAMN09363372,6518150110,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4167763,GSM3175869,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175869,cerebellum tissue RNA,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellum tissue,,
SRR7263628,RNA-Seq,101,11113301892,PRJNA423257,SAMN09363370,7661450901,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167764,GSM3175870,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175870,cerebellum tissue RNA,SRP127259,C57BL/6,9-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+;Eedfl/+,Cerebellum tissue,,
SRR7263629,RNA-Seq,101,606239774,PRJNA423257,SAMN09363507,403149353,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167765,GSM3175871,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175871,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263630,RNA-Seq,101,823838618,PRJNA423257,SAMN09363506,518872732,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167766,GSM3175872,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175872,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263631,RNA-Seq,101,1110031511,PRJNA423257,SAMN09363504,704907240,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4167767,GSM3175873,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175873,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263632,RNA-Seq,101,687553056,PRJNA423257,SAMN09363497,433250599,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167768,GSM3175874,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175874,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263633,RNA-Seq,101,855287392,PRJNA423257,SAMN09363495,539153486,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167769,GSM3175875,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175875,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263634,RNA-Seq,101,859430412,PRJNA423257,SAMN09363493,541266362,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167770,GSM3175876,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175876,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263635,RNA-Seq,101,875754436,PRJNA423257,SAMN09363502,551314581,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4167771,GSM3175877,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175877,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263636,RNA-Seq,101,513465921,PRJNA423257,SAMN09363500,323537409,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4167772,GSM3175878,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175878,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263637,RNA-Seq,101,753804612,PRJNA423257,SAMN09363498,476854364,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167773,GSM3175879,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175879,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263638,RNA-Seq,101,1177489209,PRJNA423257,SAMN09363492,740501991,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4167774,GSM3175880,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175880,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263639,RNA-Seq,101,823577836,PRJNA423257,SAMN09363490,518657636,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167775,GSM3175881,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175881,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263640,RNA-Seq,101,1268081967,PRJNA423257,SAMN09363489,799267769,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167776,GSM3175882,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175882,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263641,RNA-Seq,101,700485803,PRJNA423257,SAMN09363487,446228359,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4167777,GSM3175883,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175883,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263642,RNA-Seq,101,668254784,PRJNA423257,SAMN09363485,426374353,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167778,GSM3175884,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175884,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263643,RNA-Seq,101,662545860,PRJNA423257,SAMN09363033,420321164,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167779,GSM3175885,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175885,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263644,RNA-Seq,101,1063454048,PRJNA423257,SAMN09363031,678763893,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4167780,GSM3175886,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175886,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263645,RNA-Seq,101,1105211892,PRJNA423257,SAMN09363184,704352682,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4167781,GSM3175887,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175887,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
SRR7263646,RNA-Seq,101,875304279,PRJNA423257,SAMN09363182,577474969,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4167782,GSM3175888,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-07-13T00:00:00Z,GSM3175888,striatum single nuclei RNA,SRP127259,C57BL/6,4-month-old,Cx3cr1CreErt2/+(Litt);Eef1a1LSL.eGFPL10a/+,Striatal microglia,,
